,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Forest Grove,45.5198,-123.1107,65.17,67,26,5.95,US,1592546400
1,Arraial do Cabo,-22.9661,-42.0278,70.02,77,83,13.51,BR,1592546400
2,Albany,42.6001,-73.9662,67.12,94,59,2.57,US,1592546400
3,Broome,42.2506,-75.833,62.58,94,13,3.29,US,1592546400
4,Hilo,19.7297,-155.09,76.17,65,87,2.95,US,1592546400
5,Chokurdakh,70.6333,147.9167,89.67,19,57,4.94,RU,1592546400
6,Bredy,52.4153,60.3411,61.57,40,6,11.95,RU,1592546400
7,Waipawa,-41.4122,175.5153,53.26,99,100,7.31,NZ,1592546400
8,Kruisfontein,-34.0033,24.7314,57.22,42,0,15.41,ZA,1592546400
9,Ushuaia,-54.8,-68.3,33.22,84,60,5.39,AR,1592546400
10,Punta Arenas,-53.15,-70.9167,37.56,93,99,0.63,CL,1592546400
11,Grakhovo,56.0502,51.9676,63.66,53,2,3.44,RU,1592546400
12,Klaksvík,62.2266,-6.589,49.75,95,65,7.49,FO,1592546400
13,Kapaa,22.0752,-159.319,77.88,72,44,14.76,US,1592546400
14,Saint-Philippe,-21.3585,55.7679,68.09,69,88,16.42,RE,1592546400
15,Vardø,70.3705,31.1107,44.47,72,74,28.34,NO,1592546400
16,Laguna,38.421,-121.4238,76.26,29,28,6.02,US,1592546400
17,Camacha,33.0833,-16.3333,66.11,89,11,6.8,PT,1592546400
18,Avera,33.194,-82.5271,69.28,78,20,4.79,US,1592546400
19,Bredasdorp,-34.5322,20.0403,56.32,51,0,8.3,ZA,1592546400
20,Bambous Virieux,-20.3428,57.7575,71.49,74,87,20.33,MU,1592546400
21,Birin,26.8865,88.0718,67.64,100,100,3.47,NP,1592546400
22,Tiksi,71.6872,128.8694,56.14,65,100,3.18,RU,1592546400
23,San Cristobal,7.7669,-72.225,65.23,90,100,4.63,VE,1592546400
24,Hobart,-42.8794,147.3294,52.56,73,100,2.86,AU,1592546400
25,Mehamn,71.0357,27.8492,42.6,79,87,24.45,NO,1592546400
26,Buraidah,26.326,43.975,94.35,19,68,3.67,SA,1592546400
27,Oktyabr'skoye,43.0645,44.7417,75.99,68,94,3.89,RU,1592546400
28,Norman Wells,65.282,-126.8329,73.2,48,64,5.19,CA,1592546400
29,Busselton,-33.65,115.3333,58.24,61,83,4.56,AU,1592546400
30,Butaritari,3.0707,172.7902,83.08,70,68,7.11,KI,1592546400
31,Luau,-10.7073,22.2247,55.58,64,56,6.96,AO,1592546400
32,Tafresh,34.692,50.013,80.26,18,0,4.27,IR,1592546400
33,Koróni,36.8,21.95,72.77,77,0,11.07,GR,1592546400
34,Lebu,-37.6167,-73.65,52.81,87,66,9.86,CL,1592546400
35,Mundo Nuevo (Ojo de Agua),18.7,-95.5,81.12,80,58,9.1,MX,1592546400
36,New Norfolk,-42.7826,147.0587,50.83,77,100,1.52,AU,1592546400
37,Ballina,-28.8667,153.5667,64.09,73,59,8.25,AU,1592546400
38,La Santisima Trinidad,-14.8333,-64.9,75.38,73,70,3.29,BO,1592546400
39,Sobolevo,54.4299,31.8996,73.11,87,4,5.48,RU,1592546400
40,Rikitea,-23.1203,-134.9692,74.97,87,100,16.6,PF,1592546400
41,Havre-St-Pierre,50.2334,-63.5986,58.84,90,82,7.61,CA,1592546400
42,Aswān,24.0934,32.907,86.92,26,0,20.69,EG,1592546400
43,Port Hedland,-20.3167,118.5667,82.9,34,0,11.63,AU,1592546400
44,Nizwá,22.9333,57.5333,101.41,26,19,4.9,OM,1592546400
45,Lesce,46.3611,14.1578,61.54,83,69,1.92,SI,1592546400
46,Kampot,10.6167,104.1833,89.42,64,56,7.85,KH,1592546400
47,George Town,5.4112,100.3354,86.2,70,60,6.82,MY,1592546400
48,Baoro,5.6667,15.9667,68.76,93,100,2.98,CF,1592546400
49,Auki,-8.7676,160.7034,83.57,76,78,2.46,SB,1592546400
50,Kahului,20.8947,-156.47,77.18,61,52,15.17,US,1592546400
51,Thompson,55.7435,-97.8558,41.04,94,95,11.03,CA,1592546400
52,Jamestown,42.097,-79.2353,62.8,84,28,5.53,US,1592546400
53,Yerbogachën,61.2767,108.0108,71.78,35,32,1.88,RU,1592546400
54,Denpasar,-8.65,115.2167,83.1,73,51,13.06,ID,1592546400
55,Yumen,40.2833,97.2,91.96,12,69,10.85,CN,1592546400
56,Rohri,27.6922,68.8951,110.35,32,0,20.83,PK,1592546400
57,Mar del Plata,-38.0023,-57.5575,50.59,78,0,12.35,AR,1592546400
58,Tuktoyaktuk,69.4541,-133.0374,42.44,85,39,9.84,CA,1592546400
59,Örnsköldsvik,63.2909,18.7153,68.5,64,0,4.99,SE,1592546400
60,Kalemie,-5.9475,29.1947,74.98,67,35,10.07,CD,1592546400
61,Daru,-9.0763,143.2092,78.64,83,100,15.88,PG,1592546400
62,Deputatsky,69.3,139.9,81.73,24,23,7.96,RU,1592546400
63,Vaini,-21.2,-175.2,74.03,84,41,20.8,TO,1592546400
64,Najrān,17.4924,44.1277,92.66,15,49,4.43,SA,1592546400
65,Charters Towers,-20.1,146.2667,70.41,59,73,11.72,AU,1592546400
66,Lodwar,3.1191,35.5973,81.93,55,45,7.47,KE,1592546400
67,Marawi,7.9986,124.2928,81.55,81,69,4.25,PH,1592546400
68,Erenhot,43.6475,111.9767,87.93,23,0,9.13,CN,1592546400
69,Saldanha,-33.0117,17.9442,64.47,51,0,18.05,ZA,1592546400
70,Caborca,30.5838,-111.101,78.28,17,0,1.5,MX,1592546400
71,Mataura,-46.1927,168.8643,42.01,80,0,1.61,NZ,1592546400
72,Hithadhoo,-0.6,73.0833,84.54,74,77,4.12,MV,1592546400
73,Kieta,-6.2167,155.6333,82.99,77,47,2.75,PG,1592546400
74,Qūchān,37.106,58.5095,78.87,20,0,9.75,IR,1592546400
75,Puerto Ayora,-0.7393,-90.3518,70.61,87,93,11.56,EC,1592546400
76,Labuhan,-6.8844,112.2051,87.42,65,52,2.89,ID,1592546400
77,Constitución,-35.3333,-72.4167,55.58,91,100,8.75,CL,1592546400
78,Campos Novos,-27.4017,-51.225,56.98,98,58,3.44,BR,1592546400
79,Niksar,40.5917,36.9517,68.63,71,35,4.5,TR,1592546400
80,Hermanus,-34.4187,19.2345,61.79,48,0,10.76,ZA,1592546400
81,Ponta Delgada,37.7333,-25.6667,63.72,82,41,7.2,PT,1592546400
82,Doha,25.2867,51.5333,102.69,24,16,20.36,QA,1592546400
83,Alice Springs,-23.7,133.8833,78.37,22,0,5.5,AU,1592546400
84,Tuatapere,-46.1333,167.6833,41.68,71,0,2.35,NZ,1592546400
85,Iqaluit,63.7506,-68.5145,34.56,85,73,2.21,CA,1592546400
86,Yellowknife,62.456,-114.3525,59.58,42,11,8.88,CA,1592546400
87,Whitehorse,60.7161,-135.0538,55.27,63,78,8.41,CA,1592546400
88,Bluff,-46.6,168.3333,45.03,70,0,8.72,NZ,1592546400
89,Tura,25.5198,90.2201,85.98,80,85,4.54,IN,1592546400
90,Bandarbeyla,9.4942,50.8122,88.2,53,26,28.25,SO,1592546400
91,Cabo San Lucas,22.8909,-109.9124,80.76,45,59,13.33,MX,1592546400
92,São Filipe,14.8961,-24.4956,79.77,63,0,6.67,CV,1592546400
93,Provideniya,64.3833,-173.3,60.28,56,55,2.51,RU,1592546400
94,Dhārchula,29.85,80.5333,82.92,54,85,6.08,IN,1592546400
95,Beitbridge,-22.2167,30.0,57.43,74,100,7.83,ZW,1592546400
96,Fernandina Beach,30.6697,-81.4626,77.22,91,46,5.19,US,1592546400
97,Longyearbyen,78.2186,15.6401,42.1,71,45,9.4,SJ,1592546400
98,Mahébourg,-20.4081,57.7,71.1,74,87,20.07,MU,1592546400
99,Torit,4.4133,32.5678,74.16,90,62,1.1,SS,1592546400
100,Alyangula,-13.8483,136.4192,82.13,66,27,13.82,AU,1592546400
101,Weiser,44.251,-116.9693,62.04,52,1,1.36,US,1592546400
102,Oruzgan,32.8333,66.0,85.59,16,0,1.05,AF,1592546400
103,Saint George,37.1041,-113.5841,74.7,19,2,5.88,US,1592546400
104,Sládkovičovo,48.2014,17.6385,61.79,83,97,13.6,SK,1592546400
105,Richards Bay,-28.783,32.0377,59.68,79,90,5.14,ZA,1592546400
106,Itoman,26.1247,127.6694,85.66,83,87,17.49,JP,1592546400
107,Mpongwe,-13.5091,28.155,55.98,85,0,8.66,ZM,1592546400
108,Sheridan,44.8333,-106.9173,47.88,78,14,3.6,US,1592546400
109,Harper,4.375,-7.7169,76.93,84,80,7.23,LR,1592546400
110,Yulara,-25.2406,130.9889,76.37,21,0,5.3,AU,1592546400
111,Aylmer,42.7668,-80.983,64.35,84,11,4.16,CA,1592546400
112,Upernavik,72.7868,-56.1549,34.74,87,0,11.05,GL,1592546400
113,Hay River,60.8156,-115.7999,66.25,56,10,7.72,CA,1592546400
114,Anadyr,64.75,177.4833,61.18,45,100,13.78,RU,1592546400
115,Pathein,16.7833,94.7333,83.39,79,100,5.01,MM,1592546400
116,Atuona,-9.8,-139.0333,80.26,77,5,13.13,PF,1592546400
117,Arkhangelsk,64.5401,40.5433,61.84,97,95,6.35,RU,1592546400
118,Helena,46.5927,-112.0361,48.72,75,40,4.29,US,1592546400
119,Qaanaaq,77.484,-69.3632,28.42,92,10,0.38,GL,1592546400
120,Khatanga,71.9667,102.5,62.96,48,79,13.6,RU,1592546400
121,Beidao,34.5686,105.8933,86.61,41,84,12.68,CN,1592546400
122,Kaitangata,-46.2817,169.8464,45.88,80,7,6.11,NZ,1592546400
123,Lagos,6.5833,3.75,74.23,95,59,0.78,NG,1592546400
124,Nikolskoye,59.7035,30.7861,77.13,68,11,1.72,RU,1592546400
125,Batemans Bay,-35.7167,150.1833,67.05,54,43,5.01,AU,1592546400
126,Manaure,11.7751,-72.4445,81.61,74,48,17.98,CO,1592546400
127,Dicabisagan,17.0818,122.4157,88.16,66,1,9.26,PH,1592546400
128,Berezovyy,51.6667,135.7,58.46,63,95,6.73,RU,1592546400
129,Nome,64.5011,-165.4064,55.67,69,65,6.42,US,1592546400
130,Eureka,40.8021,-124.1637,57.02,90,57,1.36,US,1592546400
131,Avarua,-21.2078,-159.775,71.98,73,45,21.45,CK,1592546400
132,Pontianak,-0.0333,109.3333,85.84,71,100,7.54,ID,1592546400
133,Daşoguz,41.8363,59.9666,90.77,15,6,3.91,TM,1592546400
134,Esperance,-33.8667,121.9,59.99,66,54,16.78,AU,1592546400
135,Užventis,55.7803,22.6547,71.22,89,47,5.7,LT,1592546400
136,Davila,18.4726,120.5763,89.29,70,13,7.23,PH,1592546400
137,Nantucket,41.2835,-70.0995,64.53,92,72,13.67,US,1592546400
138,Assiniboia,49.6334,-105.9845,47.26,79,83,8.14,CA,1592546400
139,Oddur,4.1213,43.8894,78.82,72,48,22.73,SO,1592546400
140,Senno,59.5336,33.9167,76.14,70,10,4.7,RU,1592546400
141,Rome,43.2128,-75.4557,64.0,93,21,3.58,US,1592546400
142,Aksha,50.2814,113.2867,80.53,41,68,1.32,RU,1592546400
143,Tasiilaq,65.6145,-37.6368,38.62,87,100,19.04,GL,1592546400
144,Umm Kaddadah,13.6017,26.6876,85.71,48,76,7.49,SD,1592546400
145,Sur,22.5667,59.5289,94.59,53,2,5.93,OM,1592546400
146,Burnie,-41.0667,145.9167,56.52,78,100,6.55,AU,1592546400
147,Tautira,-17.7333,-149.15,80.19,80,60,2.19,PF,1592546400
148,Otane,-39.8833,176.6333,54.82,91,95,5.48,NZ,1592546400
149,Trzebinia,50.1593,19.4697,61.86,98,86,4.47,PL,1592546400
150,Talnakh,69.4865,88.3972,47.17,57,100,11.92,RU,1592546400
151,Tiznit Province,29.5833,-9.5,61.38,84,18,1.12,MA,1592546400
152,Port Lincoln,-34.7333,135.8667,60.75,63,19,21.36,AU,1592546400
153,Ardakān,32.31,54.0175,95.85,11,19,3.74,IR,1592546400
154,Kaeo,-35.1,173.7833,52.43,38,71,6.17,NZ,1592546400
155,Caravelas,-17.7125,-39.2481,72.72,89,45,9.62,BR,1592546400
156,Saskylakh,71.9167,114.0833,75.65,36,88,6.46,RU,1592546400
157,Kasempa,-13.4584,25.8338,53.91,78,0,7.94,ZM,1592546400
158,San Patricio,19.2167,-104.7,77.49,74,6,2.59,MX,1592546400
159,Gambēla,8.25,34.5833,75.61,87,100,0.85,ET,1592546400
160,Castro,-24.7911,-50.0119,57.58,94,34,5.73,BR,1592546400
161,Jadu,31.953,12.0261,86.29,14,0,23.47,LY,1592546400
162,Waingapu,-9.6567,120.2641,84.2,62,41,19.42,ID,1592546400
163,Samarai,-10.6167,150.6667,79.45,84,40,16.69,PG,1592546400
164,Sørland,67.667,12.6934,48.36,81,0,15.97,NO,1592546400
165,Saint-Pierre,-21.3393,55.4781,69.96,67,84,16.75,RE,1592546400
166,Egvekinot,66.3167,-179.1667,63.7,35,0,4.85,RU,1592546400
167,Coquimbo,-29.9533,-71.3436,56.43,72,92,6.2,CL,1592546400
168,Pisco,-13.7,-76.2167,61.25,82,47,0.6,PE,1592546400
169,Clyde River,70.4692,-68.5914,31.77,98,93,2.26,CA,1592546400
170,Katobu,-4.9408,122.5276,79.2,89,75,6.33,ID,1592546400
171,Port Elizabeth,-33.918,25.5701,61.0,53,0,11.97,ZA,1592546400
172,Bathsheba,13.2167,-59.5167,81.63,76,47,16.69,BB,1592546400
173,San Vicente,-26.6167,-54.1333,63.63,93,31,4.83,AR,1592546400
174,Saint Paul Harbor,57.79,-152.4072,50.34,74,44,7.25,US,1592546400
175,Kasongo-Lunda,-6.4667,16.8167,64.33,46,66,1.74,CD,1592546400
176,Port Alfred,-33.5906,26.891,62.33,53,0,6.98,ZA,1592546400
177,Kutum,14.2,24.6667,80.49,42,13,10.63,SD,1592546400
178,Cape Town,-33.9258,18.4232,63.14,39,0,8.37,ZA,1592546400
179,Cayenne,4.9333,-52.3333,77.41,93,87,2.68,GF,1592546400
180,East London,-33.0153,27.9116,60.51,53,0,6.98,ZA,1592546400
181,Fairbanks,64.8378,-147.7164,68.34,46,68,9.42,US,1592546400
182,Souillac,-20.5167,57.5167,70.77,75,86,19.37,MU,1592546400
183,Alanya,36.5438,31.9998,78.06,54,1,5.28,TR,1592546400
184,Port Hardy,50.6996,-127.4199,58.6,87,95,6.51,CA,1592546400
185,Sola,-13.8833,167.55,81.9,75,42,16.4,VU,1592546400
186,Te Anau,-45.4167,167.7167,42.17,70,0,0.81,NZ,1592546400
187,Faya,18.3851,42.4509,79.77,36,47,9.01,SA,1592546400
188,‘Āhuimanu,21.4447,-157.8378,80.65,56,45,19.3,US,1592546400
189,Baruun-Urt,46.6806,113.2792,88.0,25,68,15.82,MN,1592546400
190,Valerianovsk,58.76,59.5522,59.07,40,0,6.78,RU,1592546400
191,Kozhanka,49.9793,29.7381,69.89,71,59,8.37,UA,1592546400
192,Praia da Vitória,38.7333,-27.0667,62.44,84,18,7.18,PT,1592546400
193,Fortuna,40.5982,-124.1573,56.25,86,34,1.68,US,1592546400
194,Petropavlovsk-Kamchatskiy,53.0452,158.6483,48.04,84,76,9.46,RU,1592546400
195,Kumul,42.8,93.45,94.14,15,72,7.14,CN,1592546400
196,Rossville,39.3384,-76.4797,69.42,90,53,5.44,US,1592546400
197,Bima,-8.4667,118.7167,86.09,66,61,7.25,ID,1592546400
198,Chardara,41.2547,67.9692,84.24,24,0,9.01,KZ,1592546400
199,Bengkulu,-3.8004,102.2655,83.93,69,97,4.76,ID,1592546400
200,Catalão,-18.1658,-47.9464,59.92,81,80,5.95,BR,1592546400
201,Ilulissat,69.2167,-51.1,37.96,77,50,2.89,GL,1592546400
202,Vostok,46.4856,135.8833,59.47,79,87,4.79,RU,1592546400
203,Alofi,-19.0595,-169.9187,75.2,73,69,24.96,NU,1592546400
204,Tchibanga,-2.85,11.0333,70.18,92,100,1.19,GA,1592546400
205,Nuuk,64.1835,-51.7216,37.96,94,100,9.24,GL,1592546400
206,Bethel,41.3712,-73.414,65.55,95,62,2.24,US,1592546400
207,Cockburn Town,21.4612,-71.1419,82.24,80,9,18.52,TC,1592546400
208,Faanui,-16.4833,-151.75,80.74,73,8,2.64,PF,1592546400
209,Lerwick,60.1545,-1.1494,54.88,93,98,11.5,GB,1592546400
210,Pozhva,59.0912,56.0847,59.32,48,12,3.2,RU,1592546400
211,Lagoa,39.05,-27.9833,64.04,89,21,15.12,PT,1592546400
212,Sungai Penuh,-2.0833,101.3833,74.32,89,90,2.51,ID,1592546400
213,Adrar,20.5022,-10.0711,90.28,24,0,13.87,MR,1592546400
214,Mogadishu,2.0371,45.3438,80.08,81,91,18.25,SO,1592546400
215,Sitka,57.0531,-135.33,52.45,89,94,5.19,US,1592546400
216,Conceição da Barra,-18.5933,-39.7322,71.37,89,86,3.18,BR,1592546400
217,Katsina,12.9894,7.6006,79.68,62,22,11.52,NG,1592546400
218,Jutaí,-5.1833,-68.9,73.49,94,97,1.68,BR,1592546400
219,Radovitskiy,55.1282,39.7956,70.02,71,0,5.77,RU,1592546400
220,Bismarck,46.8083,-100.7837,56.01,64,66,7.85,US,1592546400
221,Abu Dhabi,24.4667,54.3667,88.7,64,25,2.37,AE,1592546400
222,Chui,-33.6971,-53.4616,53.44,92,88,6.46,UY,1592546400
223,Vestmanna,62.1564,-7.1664,49.55,95,80,7.0,FO,1592546400
224,Glazov,58.1394,52.6584,64.58,54,46,3.8,RU,1592546400
225,Atar,20.5169,-13.0499,89.62,25,0,11.25,MR,1592546400
226,Airai,-8.9266,125.4092,69.42,77,73,5.99,TL,1592546400
227,Araçuaí,-16.8497,-42.0703,67.93,79,92,1.66,BR,1592546400
228,Belyy Gorodok,56.965,37.5125,72.01,89,20,6.67,RU,1592546400
229,Xichang,27.8964,102.2634,80.35,62,86,2.08,CN,1592546400
230,Vanderhoof,54.0166,-124.0198,64.09,65,100,3.8,CA,1592546400
231,Wallaceburg,42.593,-82.3885,64.58,84,1,2.62,CA,1592546400
232,Hong Kong,22.2855,114.1577,87.94,70,82,11.95,HK,1592546400
233,Xinmin,41.9908,122.8253,90.54,32,0,2.33,CN,1592546400
234,Bandar-e Anzali,37.4727,49.4622,81.46,64,0,7.76,IR,1592546400
235,Sinnamary,5.3833,-52.95,77.14,87,100,4.38,GF,1592546400
236,Olafsvik,64.8945,-23.7142,47.84,80,100,12.21,IS,1592546400
237,Carnarvon,-24.8667,113.6333,74.35,45,0,4.7,AU,1592546400
238,Bubaque,11.2833,-15.8333,81.54,84,100,12.93,GW,1592546400
239,Lompoc,34.6391,-120.4579,56.43,88,0,0.45,US,1592546400
240,Hamilton,39.1834,-84.5333,66.9,88,27,1.19,US,1592546400
241,Kavieng,-2.5744,150.7967,84.9,67,12,0.43,PG,1592546400
242,Aksarka,66.5606,67.7975,49.8,54,59,6.49,RU,1592546400
243,Barrow,71.2906,-156.7887,43.68,75,90,7.99,US,1592546400
244,Zeya,53.75,127.2667,64.83,66,99,5.75,RU,1592546400
245,Isangel,-19.55,169.2667,75.6,76,86,11.9,VU,1592546400
246,Popondetta,-8.7537,148.2534,86.52,59,6,4.18,PG,1592546400
247,Znamenskoye,57.1281,73.8282,51.64,52,42,11.7,RU,1592546400
248,Cherskiy,68.75,161.3,80.67,27,2,10.65,RU,1592546400
249,Douglas,41.3,-96.167,62.69,93,87,9.55,US,1592546400
250,Zambezi,-13.5432,23.1047,52.3,69,0,8.57,ZM,1592546400
251,Isiro,2.7739,27.616,69.87,94,100,2.06,CD,1592546400
252,Grand Gaube,-20.0064,57.6608,72.59,73,92,26.04,MU,1592546400
253,Nortelândia,-14.4547,-56.8028,72.27,64,47,4.7,BR,1592546400
254,Hofn,64.2539,-15.2082,49.59,80,0,0.43,IS,1592546400
255,Baghdad,33.3406,44.4009,94.23,25,0,17.11,IQ,1592546400
256,Guangyuan,32.442,105.823,82.44,63,51,3.67,CN,1592546400
257,Dillon,34.4166,-79.3712,68.34,92,38,5.88,US,1592546400
258,Sovetskoye,52.2861,85.4131,59.86,84,95,8.21,RU,1592546400
259,Mungaa,-4.9667,34.8833,62.47,81,13,11.54,TZ,1592546400
260,Outlook,51.5001,-107.0513,49.03,72,68,8.99,CA,1592546400
261,Malabang,7.5903,124.0703,86.47,64,47,3.96,PH,1592546400
262,Sysert',56.4953,60.8192,59.05,50,8,4.25,RU,1592546400
263,Nanortalik,60.1432,-45.2371,37.67,85,86,6.53,GL,1592546400
264,Los Llanos de Aridane,28.6585,-17.9182,69.67,81,43,11.41,ES,1592546400
265,Kapoeta,4.7717,33.5903,76.19,82,14,4.88,SS,1592546400
266,Aklavik,68.2191,-135.0107,60.66,53,41,8.88,CA,1592546400
267,Jalu,29.0331,21.5482,84.15,26,0,5.61,LY,1592546400
268,Torbay,47.6666,-52.7314,56.66,83,78,18.41,CA,1592546400
269,Hualmay,-11.0964,-77.6139,61.12,85,16,5.79,PE,1592546400
270,Jandaia do Sul,-23.6031,-51.6433,59.7,97,38,5.35,BR,1592546400
271,Carutapera,-1.195,-46.02,74.26,91,98,5.79,BR,1592546400
272,Merauke,-8.4667,140.3333,82.18,72,87,17.58,ID,1592546400
273,Mananjary,-21.2167,48.3333,64.72,89,74,3.13,MG,1592546400
274,Mühlhausen,51.2167,10.45,59.7,94,100,4.99,DE,1592546400
275,Tashtagol,52.7657,87.8894,65.5,71,98,6.2,RU,1592546400
276,Ust-Nera,64.5667,143.2,80.31,26,69,5.86,RU,1592546400
277,Praia,14.9215,-23.5087,75.63,78,0,15.12,CV,1592546400
278,Westport,41.1415,-73.3579,66.67,90,18,3.56,US,1592546400
279,Sibu,2.3,111.8167,86.81,77,78,4.72,MY,1592546400
280,Porto-Novo,6.4965,2.6036,74.32,97,86,3.67,BJ,1592546400
